date,link,title
11 Jul 2019,www.dbs.com/newsroom/DBS_named_Worlds_Best_Bank_by_Euromoney_magazine,DBS named ‘World’s Best Bank’ by Euromoney magazine
09 Jul 2019,www.dbs.com/newsroom/DBS_launches_Singapores_first_one_stop_integrated_travel_marketplace_with_Singapore_Airlines_Expedia_Partner_Solutions_and_Chubb,"DBS launches Singapore's first one-stop integrated travel marketplace with Singapore Airlines, Expedia Partner Solutions and Chubb"
28 Jun 2019,www.dbs.com/newsroom/DBS_debuts_second_season_of_SPARKS_an_award_winning_mini_series_with_focus_on_sustainability,"DBS debuts second season of SPARKS, an award-winning mini-series, with focus on sustainability"
19 Jun 2019,www.dbs.com/newsroom/DBS_Foundation_Social_Enterprise_Grant_2019_opens_for_submissions,DBS Foundation Social Enterprise Grant 2019 opens for submissions
13 Jun 2019,www.dbs.com/newsroom/DBS_GOJEK_EXPAND_PAYMENT_SERVICES_PARTNERSHIP_IN_SINGAPORE,"DBS, GOJEK expand payment services partnership in Singapore"
04 Jun 2019,www.dbs.com/newsroom/DBS_helps_SMEs_in_the_retail_and_Famp_B_sectors_reduce_cost_of_managing_cash_and_increase_customer_convenience,DBS helps SMEs in the retail and F&B sectors reduce cost of managing cash and increase customer convenience
29 May 2019,www.dbs.com/newsroom/Chews_Agriculture_signs_Singapores_first_SME_sustainability_linked_loan_with_DBS,Chew’s Agriculture signs Singapore’s first SME sustainability-linked loan with DBS
28 May 2019,www.dbs.com/newsroom/DBS_breaks_new_ground_with_global_hackathon,DBS breaks new ground with global hackathon
21 May 2019,www.dbs.com/newsroom/DBS_Bank_and_AU_Optronics_sign_Taiwans_first_sustainability_linked_loan,DBS Bank and AU Optronics sign Taiwan’s first sustainability-linked loan
18 May 2019,www.dbs.com/newsroom/DBS_rolls_out_DBS_QR_gift_in_celebration_of_Hari_Raya,DBS rolls out DBS QR gift in celebration of Hari Raya
16 May 2019,www.dbs.com/newsroom/DBS_enables_digital_payments_for_one_in_three_Singapore_pre_schools,DBS enables digital payments for one in three Singapore pre-schools
10 May 2019,www.dbs.com/newsroom/DBS_Global_Income_Note_raises_over_SGD_1_billion_in_three_months,DBS Global Income Note raises over SGD 1 billion in three months
02 May 2019,www.dbs.com/newsroom/DBS_creates_Customer_Centre_of_the_future,DBS creates Customer Centre of the future
01 May 2019,www.dbs.com/newsroom/DBS_boosts_DBS_Multiplier_benefits_to_better_serve_customers_long_term_financial_needs,DBS boosts DBS Multiplier benefits to better serve customers’ long-term financial needs
29 Apr 2019,www.dbs.com/newsroom/DBS_first_quarter_net_profit_up_9pct_to_record_SGD_1_65_billion_return_on_equity_at_14pct,"DBS first-quarter net profit up 9% to record SGD 1.65 billion, return on equity at 14%"
28 Apr 2019,www.dbs.com/newsroom/DBS_Marina_Regatta_returns_seeks_to_inspire_Singaporeans_to_be_more_ecofriendly,DBS Marina Regatta returns; seeks to inspire Singaporeans to be more eco-friendly
28 Apr 2019,www.dbs.com/newsroom/DBS_first_Asian_bank_to_launch_digital_token_with_enhanced_security_features__to_corporate_and_SME_customers,DBS – first Asian bank to launch digital token with enhanced security features  to corporate and SME customers
